imglink,company,title,star,effect1,effect2,gender,age
https://imgproxy.pillyze.io/L2tYMO5WYFFhqW4X4uRwq0gwZ4HRjiP1I50GbhkuBnk/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS85ay9jMGJjM2Q4Ny05MzYwLzEwMDA,스포츠리서치,트리플 스트렝스 오메가3 피쉬오일 (오메가3 1040mg),4.74,,콜레스테롤 수치 개선 26%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/jWzfMp7Q4CluzuT1IKNirIa8EZg50ohtPdduFKu9E9E/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xay85MzYzOGUyZS0xNzMwLzUwMA,쏜리서치,SAT,4.79,,숙취 감소 46%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/qepgDD7uGSV96ukXRK4Q0HRX0bVjFn8XjMws4CGL7kQ/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xMWsvMzVjZTM5MWItMTEwNzAvNTAw,쏜리서치,칼슘 마그네슘 말레이트,4.73,,근육통 완화 25%,UNISEX,AGE_20_UNDER
https://imgproxy.pillyze.io/5Ws6Vgu7LIm_2XnfgrNzsPDGAciDs6hNaxJo4N36U8c/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS85ay82Mzg2ZTRlNi05MzU5LzEwMDA,캘리포니아골드뉴트리션,락토비프 프로바이오틱스 300억,4.7,,복부 가스 덜 참 37%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/Mh_SZxAZTQ7s05t0MAEp3IWB5uJDNblD8ZLUxPsWbHI/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way84ZDllZjBkNy00NzMvNTAw,고려은단,비타민C 1000 이지 + 비타민D,4.7,,얼굴색 좋아짐 21%,UNISEX,AGE_20_UNDER
https://imgproxy.pillyze.io/qm9ZGhGO5Xvsbs2zeLx_BVEygHcQYleF0uvedEaWn1s/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way80MTk1NTIxMy0xLzEwMDA,고려은단,비타민C 1000,4.67,,얼굴색 좋아짐 25%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/VuHIUar8lovY4cqp4r3Vo45OKwOOqo4MK-08IMfZwbU/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xMmsvOTQ0NWJmZTktMTI2NjkvNTAw,쏜리서치,베이직 뉴트리언트 투퍼데이,4.65,,감기 덜 걸림 25%,UNISEX,AGE_20_UNDER
https://imgproxy.pillyze.io/rYFMdgvkRNYF2lHenyKQrvQrM6e3rUeDzBEs66ovmlk/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way8wYWI1NWQwYy0yNzAvMTAwMA,자로우포뮬라,우먼스 펨 도필러스 10억(해외),4.71,,변비 개선 26%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/PXc5RN5bXjza4FSVU7WUatYaa3kD4eHCUEv4X9mYIds/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xNmsvYTk1YzczNzgtMTY5OTMvMTAwMA,센트룸,멀티 구미,4.66,,감기 덜 걸림 15%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/-4h4rvlibk7xoat6X0N-blliDMkomQsGYKegpS2JNZY/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8yMGsvZGRiZTYzZjQtMjA3NTkvMTAwMA,종근당건강,생유산균 락토핏 골드 프로바이오틱스 아연,4.65,,복부 가스 덜 참 32%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/njXo1NusZWT5KL6q8ibKA2pMD79-ORpR3REwWu2C-54/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xMGsvYWQ1MjlmMGEtMTA4ODcvNTAw,나우푸드,더블 스트렝스 L-아르기닌 1000mg,4.58,,운동 능력 증가 24%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/CqbyrWwoeNs4DRdwDt5qcwaB9dDIZMdloghZBxE90KU/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way83YjhlNjM1Mi02LzUwMA,종근당건강,(단종) 락토핏 생유산균 골드,4.57,,복부 가스 덜 참 31%,UNISEX,AGE_20_UNDER
https://imgproxy.pillyze.io/0YPFnTvRIzpr4G-_1PbVQJF0goFQr2pFmdFE5kcMsrI/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xMmsvYzIzZjQyYzYtMTI5NDAvMTAwMA,스포츠리서치,트리플 스트렝스 오메가3 피쉬오일 (오메가3 1055mg),4.7,,콜레스테롤 수치 개선 28%,UNISEX,AGE_20_UNDER
https://imgproxy.pillyze.io/xOZIUkVQ31UFyYD9s0qJeKZnEZq8v1sSEua4V_f-S3g/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xNWsvNGQ0MDNjNTYtMTU5NDcvMTAwMA,나우푸드,울트라 오메가3 피쉬오일,4.63,,콜레스테롤 수치 개선 18%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/WLhCkrWnYB0foVCOnzlzgjutWFzfcYnuh-5fRt3cGLY/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way82MTk3NGY2Zi0zMi8xMDAw,덴프스,덴마크 유산균이야기(캡슐),4.66,,복부 가스 덜 참 34%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/bdLYtYidMCygeMW1qkM8F3KOKgecA3--j0AdGTItaCo/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xMGsvYjY5MWE5MGItMTA5OTIvNTAw,닥터스베스트,킬레이트 마그네슘,4.59,,피로 개선 46%,UNISEX,AGE_20_UNDER
https://cdn.pillyze.io/products/v1/18k/1a2d5475-18045/500,익스트림,블랙마카 1800,4.65,,근육통 완화 26%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/8997mK4sxfvlQGm51pZFswQpa2xFEtsR7sZn1riaq_A/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way9hMDdhZTQ1NS0yMzYvNTAw,종근당,칼슘 앤 마그네슘 비타민D 아연,4.54,,눈 떨림 개선 43%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/Yx1l0qr-hdzgw5sFGZPMJM5ed3YeoTEXG3MrW8czOiA/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS80ay8wNTM1MTY4Zi00NjUxLzUwMA,고려은단,멀티비타민 올인원,4.58,,감기 덜 걸림 25%,UNISEX,AGE_20_UNDER
https://imgproxy.pillyze.io/yuUzEbQhOSocCdCgfDwl9GsjZjA-HRE6aDrvYoygEBQ/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS85ay8yMWE0MWYyYS05MjczLzEwMDA,나우푸드,오메가3,4.49,,콜레스테롤 수치 개선 18%,UNISEX,AGE_20_UNDER
https://cdn.pillyze.io/products/v1/16k/38630953-16778/500,SAN,퍼포먼스 크레아틴,4.79,,근육량 증가 61%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/ynoSYPPN6kg5yUYkRp5Bwz_IxZFtQxLDzf_4uG76g6U/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xNmsvYmNjZTdjZjYtMTY4ODEvMTAwMA,자로우포뮬라,우먼스 펨 도필러스 10억(국내),4.67,,변비 개선 26%,UNISEX,AGE_20_UNDER
https://imgproxy.pillyze.io/tSzgcsOC_m_Znvom1AwcWUDLSUwdJUDiSDmgEmehOCE/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way80MGI2YTgwMS0yLzEwMDA,지엔엠,건강한 간 밀크씨슬,4.6,,숙취 감소 42%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/4abDV9G5Lz2ez45imZHgyfDRJg0Y9e0NfEBbQ22Da-I/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way8zYTU1NmY5Yy02Ny81MDA,종근당건강,혈행건강 프로메가 알티지 오메가3 듀얼,4.6,,콜레스테롤 수치 개선 22%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/YUFqAPbyZ7hNGLs2bYQQPKxlrtUq3rmiV6K6d7QvCl0/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS81ay9hMWU2ZmNiOC01NTgwLzUwMA,닥터브라이언,비타민 C&D 3000 복숭아맛 100구미,4.65,,수면질 개선 13%,UNISEX,AGE_20_UNDER
https://cdn.pillyze.io/products/v1/26k/76d98530-26007/500,나우푸드,실리마린 밀크시슬 익스트랙트 750mg,4.75,,숙취 감소 40%,UNISEX,AGE_20_UNDER
https://imgproxy.pillyze.io/XOMc0WuGNheiQo-FTPiUYkp-wnlXYVgVveh1sSCkxZ4/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xNmsvOWNmNmE4OTEtMTYwMzQvMTAwMA,담백하루,초임계 알티지 오메가에센스 1000,4.72,,수면질 개선 27%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/3PlAsrxApDujfrGlrjUNYdPSgPGVqZErQIWh58tQW1k/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way85NmVlNWJjYS0yMC81MDA,종근당건강,(단종) 락토핏 생유산균 코어,4.57,,복부 가스 덜 참 29%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/NPaWBzW--tVMnHqvmR7mND0IwqWVxFiE2Ins4ytou8w/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xay83NWUzMjE3Zi0xOTY5LzUwMA,안국건강,안국 루테인 지아잔틴 미니,4.66,,안구건조증 개선 42%,UNISEX,AGE_20_UNDER
https://imgproxy.pillyze.io/meYPmW-MlnA63MytI_lNHhcqzkU7rknUpmnYBu4x2eE/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xOGsvMTU3NWRjNmQtMTg1OTIvMTAwMA,라이프익스텐션,투퍼데이 멀티비타민(캡슐),4.57,,감기 덜 걸림 27%,UNISEX,AGE_20_UNDER
http://imgproxy.pillyze.io/jWzfMp7Q4CluzuT1IKNirIa8EZg50ohtPdduFKu9E9E/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xay85MzYzOGUyZS0xNzMwLzUwMA,쏜리서치,SAT,4.79,,숙취 감소 46%,UNISEX,AGE_30
https://imgproxy.pillyze.io/qm9ZGhGO5Xvsbs2zeLx_BVEygHcQYleF0uvedEaWn1s/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way80MTk1NTIxMy0xLzEwMDA,고려은단,비타민C 1000,4.67,,얼굴색 좋아짐 25%,UNISEX,AGE_30
https://imgproxy.pillyze.io/L2tYMO5WYFFhqW4X4uRwq0gwZ4HRjiP1I50GbhkuBnk/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS85ay9jMGJjM2Q4Ny05MzYwLzEwMDA,스포츠리서치,트리플 스트렝스 오메가3 피쉬오일 (오메가3 1040mg),4.74,,콜레스테롤 수치 개선 26%,UNISEX,AGE_30
http://imgproxy.pillyze.io/Mh_SZxAZTQ7s05t0MAEp3IWB5uJDNblD8ZLUxPsWbHI/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way84ZDllZjBkNy00NzMvNTAw,고려은단,비타민C 1000 이지 + 비타민D,4.7,,얼굴색 좋아짐 21%,UNISEX,AGE_30
https://imgproxy.pillyze.io/5Ws6Vgu7LIm_2XnfgrNzsPDGAciDs6hNaxJo4N36U8c/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS85ay82Mzg2ZTRlNi05MzU5LzEwMDA,캘리포니아골드뉴트리션,락토비프 프로바이오틱스 300억,4.7,,복부 가스 덜 참 37%,UNISEX,AGE_30
http://imgproxy.pillyze.io/qepgDD7uGSV96ukXRK4Q0HRX0bVjFn8XjMws4CGL7kQ/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xMWsvMzVjZTM5MWItMTEwNzAvNTAw,쏜리서치,칼슘 마그네슘 말레이트,4.73,,근육통 완화 25%,UNISEX,AGE_30
http://imgproxy.pillyze.io/gxo2Z2rg0qPcNJ-HoUj1CYUs0uUTMBRMRDQ1ZEJlZ28/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xN2svNWZkNGEwNjgtMTc3NTUvMTAwMA,종근당건강,벤포벨S,4.66,,감기 덜 걸림 23%,UNISEX,AGE_30
http://imgproxy.pillyze.io/RJOA_yDGseg_u67JhDcE4OTw8_HQTBWd5RDS5daawM8/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS83ay8xODU4OWQ0YS03MjE1LzEwMDA,GC녹십자,비맥스 메타,4.6,,감기 덜 걸림 25%,UNISEX,AGE_30
https://imgproxy.pillyze.io/0YPFnTvRIzpr4G-_1PbVQJF0goFQr2pFmdFE5kcMsrI/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xMmsvYzIzZjQyYzYtMTI5NDAvMTAwMA,스포츠리서치,트리플 스트렝스 오메가3 피쉬오일 (오메가3 1055mg),4.7,,콜레스테롤 수치 개선 28%,UNISEX,AGE_30
https://imgproxy.pillyze.io/rYFMdgvkRNYF2lHenyKQrvQrM6e3rUeDzBEs66ovmlk/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way8wYWI1NWQwYy0yNzAvMTAwMA,자로우포뮬라,우먼스 펨 도필러스 10억(해외),4.71,,변비 개선 26%,UNISEX,AGE_30
http://imgproxy.pillyze.io/WLhCkrWnYB0foVCOnzlzgjutWFzfcYnuh-5fRt3cGLY/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way82MTk3NGY2Zi0zMi8xMDAw,덴프스,덴마크 유산균이야기(캡슐),4.66,,복부 가스 덜 참 34%,UNISEX,AGE_30
http://imgproxy.pillyze.io/qcja-Q1JmYV7IAdOaQPjGRbAZE-w8bExs7BJcLt0gNw/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way9hYzA3YjI1OC0xODYvNTAw,솔가,엽산 400,4.73,,스트레스 감소 9%,UNISEX,AGE_30
http://imgproxy.pillyze.io/4abDV9G5Lz2ez45imZHgyfDRJg0Y9e0NfEBbQ22Da-I/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way8zYTU1NmY5Yy02Ny81MDA,종근당건강,혈행건강 프로메가 알티지 오메가3 듀얼,4.6,,콜레스테롤 수치 개선 22%,UNISEX,AGE_30
http://imgproxy.pillyze.io/3lBOyRNx_UxwVNT1Sczb9TO1fn46LZZvOZ5tYV-aNR8/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xMGsvNWVlZjVjMTAtMTA4NDMvNTAw,쏜리서치,베이직 B 컴플렉스,4.71,,감기 덜 걸림 23%,UNISEX,AGE_30
http://imgproxy.pillyze.io/CqbyrWwoeNs4DRdwDt5qcwaB9dDIZMdloghZBxE90KU/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way83YjhlNjM1Mi02LzUwMA,종근당건강,(단종) 락토핏 생유산균 골드,4.57,,복부 가스 덜 참 31%,UNISEX,AGE_30
http://imgproxy.pillyze.io/VuHIUar8lovY4cqp4r3Vo45OKwOOqo4MK-08IMfZwbU/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xMmsvOTQ0NWJmZTktMTI2NjkvNTAw,쏜리서치,베이직 뉴트리언트 투퍼데이,4.65,,감기 덜 걸림 25%,UNISEX,AGE_30
